patch_id,centre_lat,centre_lon,num_agn,num_psr
343,4.780191847199163,78.75,9,6
344,4.780191847199163,90.0,7,0
345,4.780191847199163,101.25,7,0
346,4.780191847199163,112.5,6,1
347,4.780191847199163,123.75,9,0
348,4.780191847199163,135.0,9,2
349,4.780191847199163,146.25,5,1
350,4.780191847199163,157.5,8,0
351,4.780191847199163,168.75,4,0
352,4.780191847199163,-180.0,5,1
353,4.780191847199163,-168.75,10,1
354,4.780191847199163,-157.5,7,2
355,4.780191847199163,-146.25,8,0
356,4.780191847199163,-135.0,6,0
357,4.780191847199163,-123.75,6,1
358,4.780191847199163,-112.5,8,0
359,4.780191847199163,-101.25,8,0
360,4.780191847199163,-90.0,2,0
361,4.780191847199163,-78.75000000000006,6,1
