RA,DEC,GLON,Variability_Index,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
7.55,0.03,111.43,2.9593027,5.12,-28.872677,2.1695535,0.0,-0.41415653,0.72784746,-0.36416823,0.014504927,0.47516948,Non-Pulsar
7.56,-16.8,96.47,3.7334898,14.667,-28.515102,1.5226724,0.0,0.9314496,0.9999822,0.7898917,0.22814903,0.10316265,Non-Pulsar
7.6,-42.41,317.27,6.3010426,52.354,-28.152145,2.3677027,0.0,1.5117584,-0.1705105,-0.2078751,-0.32640845,-0.8455098,Non-Pulsar
7.66,-2.2,110.74,6.783891,53.719,-27.975454,2.3032675,0.0,1.8392406,-0.10313296,-0.22670238,-0.23368932,-0.6624131,Non-Pulsar
7.83,7.44,114.2,2.7977517,8.389,-28.785576,1.9382379,0.0,0.47666243,-0.7570771,0.8486671,-0.25502706,3.8982942,Non-Pulsar
8.08,-55.37,308.64,5.77436,13.041,-28.675375,2.171118,0.0,1.0684354,0.36694798,-0.12092008,-0.36615786,-0.23751226,Non-Pulsar
8.11,-28.82,9.85,3.2973452,6.955,-28.921219,2.3752236,0.0,0.039232023,0.057881843,-0.031897534,-0.42881393,2.2259972,Non-Pulsar
8.15,-47.4,312.02,2.678726,5.595,-29.149511,1.6941252,0.0,0.38028494,0.9892147,0.17356503,0.36399233,0.38215035,Non-Pulsar
8.35,-20.67,89.42,2.2575548,6.026,-29.026388,1.6612482,0.0,0.08482034,-0.9996129,0.99966216,0.24162322,-4.698827,Non-Pulsar
8.4,-19.36,94.19,4.624113,76.818,-27.513372,1.5959458,0.0,1.9651873,0.46178627,0.22181919,0.19019048,0.27591163,Non-Pulsar
8.48,38.97,119.21,3.4970715,11.054,-28.66212,2.2925646,0.0,0.46738365,-0.1288426,0.0798989,-0.35933095,2.673488,Non-Pulsar
8.51,-41.27,316.0,4.954824,14.901,-28.476543,2.6104681,0.0,0.47145873,-0.2980199,-0.42160332,-0.36710533,0.29612082,Non-Pulsar
8.75,-57.47,307.29,2.7094226,7.231,-28.67143,2.4384782,0.0,0.7229943,-0.2706926,-0.09825416,-0.48892555,2.0102777,Non-Pulsar
8.81,15.24,117.15,3.662798,36.551,-27.926683,1.6675843,0.0,1.4795593,0.026143778,0.29210135,0.15660118,0.1300324,Non-Pulsar
8.96,-8.63,110.92,3.8208466,9.021,-28.841873,1.9720685,0.0,0.9693621,0.99998915,0.12547874,0.1544274,0.046242382,Non-Pulsar
8.97,61.52,121.08,3.545155,7.122,-27.520191,2.621857,0.0,0.4794645,-0.38039362,-0.4193713,-0.34098142,-0.4140538,Non-Pulsar
8.98,59.83,120.98,5.785595,69.934,-27.526087,1.6634133,0.0,1.3722887,0.10305691,0.136299,0.22620445,0.33182535,Non-Pulsar
9.22,14.53,117.64,0.0,4.909,0.0,2.3721178,1.0,0.0,0.99241066,-0.29140592,-0.18416469,0.17088056,Non-Pulsar
9.23,18.54,118.14,4.746957,10.179,-28.53928,2.422608,0.0,0.23915532,-0.14892244,-0.18534729,-0.42097297,-0.677967,Non-Pulsar
9.4,36.9,119.86,2.9326398,7.052,-28.623003,2.3788838,0.0,0.40430492,0.32437184,-0.2386193,0.00012960148,-0.6489738,Non-Pulsar
9.47,12.65,117.77,0.0,23.327,0.0,2.1779027,1.0,0.0,-0.18657227,-0.13979368,-0.057867344,0.12507203,Non-Pulsar
9.48,26.2,119.16,2.5048919,7.23,-28.681808,2.4457152,0.0,-0.44508478,-0.29717967,-0.17136231,-0.37307358,-1.3236955,Non-Pulsar
9.54,0.21,115.73,2.8217864,18.241,-28.510668,1.9738592,0.0,0.5145039,0.12172751,0.03563733,0.12194394,-0.17597605,Non-Pulsar
9.56,-24.99,67.94,8.321979,97.558,-27.828373,2.137574,0.0,2.1587615,0.029261556,-0.14204039,-0.131483,-0.25651747,Non-Pulsar
9.69,-2.07,115.49,2.9818547,7.96,-28.204473,2.6070037,0.0,0.85849035,-0.15068705,-0.4830922,-0.56094414,0.4370478,Non-Pulsar
9.76,-9.78,112.76,3.1162782,12.126,-28.558952,2.7599013,0.0,0.4494639,-0.24100772,-0.5233409,-0.42549378,0.40782234,Non-Pulsar
9.78,-22.33,92.03,2.7253585,12.513,-28.671162,1.784351,0.0,-0.9362325,-0.34657702,0.44731632,0.1437768,-0.6204752,Non-Pulsar
9.8,43.51,120.58,3.4899557,9.553,-28.750362,1.9554095,0.0,0.7351463,0.69865996,0.15322599,-0.0061990605,0.20428778,Non-Pulsar
10.1,40.84,120.68,2.8552139,10.817,-28.693897,1.8841169,0.0,-0.61368316,0.09610155,-0.1640917,0.09952242,0.42973122,Non-Pulsar
10.1,-23.67,86.55,3.3809772,8.099,-28.799356,2.273834,0.0,0.35370645,-0.24141608,-0.029832019,-0.49554443,14.381526,Non-Pulsar
10.24,32.05,120.35,3.044167,4.55,-28.70415,2.3667543,0.0,0.00040093967,-0.25821495,-0.070672795,-0.27633417,-114.78071,Non-Pulsar
10.34,60.88,121.71,1.9958633,12.913,-27.471636,2.9930482,0.0,1.9719602,0.72184545,-0.41594404,-0.845947,-6.9237204,Non-Pulsar
10.37,38.01,120.77,2.8143833,7.38,-28.874748,1.9725727,0.0,-0.5459709,-0.44046056,0.20179465,-0.50834227,-0.90284735,Non-Pulsar
10.44,-16.12,110.91,2.857899,5.332,-29.104916,1.7600175,0.0,0.31575623,0.9993408,0.79516524,-0.2962994,0.590145,Non-Pulsar
10.48,-47.05,307.67,2.1401784,7.402,-29.078894,1.4714915,0.0,0.7856135,0.96346366,0.99992436,0.31130275,0.1934363,Non-Pulsar
10.51,36.67,120.83,2.058731,7.271,-28.851357,2.0401893,0.0,-0.4768813,0.99994224,-0.6936404,0.5144474,0.5964311,Non-Pulsar
10.56,23.33,120.19,3.1111512,16.854,-28.564447,2.2201,0.0,0.12526064,-0.43194777,0.03807921,-0.17967165,-3.6499095,Non-Pulsar
10.88,-4.7,117.76,0.0,9.824,0.0,2.061948,1.0,0.0,-0.18859248,-0.03863231,-0.057470392,0.049314123,Non-Pulsar
10.91,22.39,120.56,0.0,6.417,0.0,2.3270266,1.0,0.0,0.99996316,-0.11623324,-0.23681173,-0.81083024,Non-Pulsar
10.93,-11.28,116.02,2.9290879,11.949,-28.660316,1.6512653,0.0,0.9209224,-0.42992237,0.38051945,0.26916334,0.025033249,Non-Pulsar
10.97,34.43,121.16,5.842101,67.485,-27.65449,1.8453526,0.0,1.7521396,0.13904114,0.082193375,0.082293324,0.051761407,Non-Pulsar
